date	event	source	market_share_if_available	notes
2015-06-05	"FSSAI orders nationwide recall of all 9 Maggi variants, calls them unsafe and hazardous"	Business Standard	78-80%	This was pre-ban market share; sales dropped ~90% within a month after this
2015-08-13	"Bombay High Court lifts the ban, orders fresh tests"	Business Standard		ban lifted after ~2 months
2015-11	"Maggi relaunches in India, Snapdeal-exclusive first"	Nestlé Global / Markhub24	10.90%	"10.9% was share during the ban; 60,000 ""welcome kits"" sold in 5 minutes on Snapdeal"
2016-06	Market share recovery reported post-relaunch	India Retailing / Business Standard	53-57%	"Directly quoted from Suresh Narayanan (Nestlé India CMD), July 29, 2016 — primary source, not third-party estimate"
2016-12	Year-end market share	Zeebiz / Matrix Bricks	60%	
2018	Market share maintained after sustained recovery campaigns	Markhub24	60%	"Campaigns: #WeMissYouToo, #NothingLikeMaggi, ""Kuch Achha Pak Raha Hai"" transparency campaign"
2023	"Capital Foods shareholders put stake up for sale; Nestlé, HUL, ITC, Tata, Reliance reportedly bid"	Business Standard		
2024-01-12	"Tata Consumer Products acquires Capital Foods (Ching's Secret, Smith & Jones) for ~$845M"	Wikipedia / Gama News / CB Insights		Strengthens a major rival's noodle/masala portfolio — relevant to RQ3
21-05-2015	UP food safety body flags lead/MSG levels in a Maggi batch from Barabanki	Nestlé timeline / Food Safety Institute		Earliest trigger point before the nationwide ban
2015-05	Pre-ban baseline market share estimated by Nomura Securities	The Gifts of Maggi (Substack)	80%	Different source than your other 78-80% figure — good to have two independent estimates agreeing
15-10-2015	Baba Ramdev announces Patanjali Atta Noodles will launch on Oct 15	Medindia		Positioned as healthier alternative to Maggi (rice bran oil vs palm oil); launched before Maggi's actual comeback
16-11-2015	Patanjali Atta Noodles launched — one week after Maggi's comeback to shelves	Governance Now		"Key finding for RQ2: Patanjali did NOT launch during the ban vacuum — it launched right after Maggi already returned, missing the actual window of opportunity"
19-11-2015	FSSAI issues show-cause notice to Patanjali for launching noodles without valid product approval	Tribune India		"Patanjali faced its own regulatory hurdle almost immediately after launch — undermines its ""healthier alternative"" positioning"
2019	Maggi sales volume finally surpasses pre-ban (2014) levels	The Gifts of Maggi (Substack)		"Took ~4 years for volume to fully catch up, even though share recovered much faster — an important nuance for RQ1"
